client_id,birth_date,sex,region,city,lat,lon,city_id,home_ip
24,1964-07-22,female,Ивановская,Иваново,56.9994677,40.9728231,43,2.60.0.24
25,1964-04-16,female,Липецкая,Липецк,52.6103027,39.5946266,21,2.60.0.25
26,1994-04-14,female,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.26
27,1991-03-20,female,Свердловская,Екатеринбург,56.8386326,60.6054887,54,2.60.0.27
28,1970-09-23,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.28
29,1976-09-04,female,Вологодская,Вологда,59.2484186,39.8356461,30,2.60.0.29
30,1982-10-03,female,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.30
31,1987-02-03,male,Самарская,Самара,53.1951657,50.1067691,68,2.60.0.31
32,2005-07-22,male,Челябинская,Челябинск,55.1603659,61.4007858,52,2.60.0.32
33,1973-11-28,female,Оренбургская,Оренбург,51.7875191,55.1017379,73,2.60.0.33
36,2003-07-11,female,Хабаровский,Комсомольск-на-Амуре,50.550011,137.0079286,7,2.60.0.34
37,1995-08-04,male,Хабаровский,Комсомольск-на-Амуре,50.550011,137.0079286,7,2.60.0.35
38,1998-07-17,female,Пермский,Пермь,58.0103211,56.2341778,36,2.60.0.36
39,1993-01-18,male,Самарская,Самара,53.1951657,50.1067691,68,2.60.0.37
40,1982-01-16,female,Ростовская,Ростов-на-Дону,47.2224364,39.7187866,5,2.60.0.38
41,1993-08-21,male,Забайкальский,Чита,52.0340128,113.4994884,22,2.60.0.39
42,1960-08-10,male,Самарская,Самара,53.1951657,50.1067691,68,2.60.0.40
43,1945-10-22,male,Калининградская,Калининград,54.7073218,20.5072458,75,2.60.0.41
44,2002-01-05,female,Саратовская,Саратов,51.530376,45.9530257,38,2.60.0.42
45,1977-08-20,male,Иркутская,Братск,56.1513951,101.6339892,20,2.60.0.43
46,1965-01-23,female,Красноярский,Красноярск,56.009466,92.8524162,19,2.60.0.44
47,1959-07-08,male,Тюменская,Тюмень,57.1530824,65.5343118,76,2.60.0.45
48,1965-02-02,male,Ярославская,Ярославль,57.6216145,39.897878,16,2.60.0.46
49,1984-05-04,female,Татарстан,Казань,55.7943877,49.1115312,72,2.60.0.47
50,2003-07-24,female,Смоленская,Смоленск,54.7867168,31.8153366,39,2.60.0.48
51,2004-11-25,female,Пермский,Пермь,58.0103211,56.2341778,36,2.60.0.49
52,1949-12-06,male,Курская,Курск,51.7303391,36.1926448,32,2.60.0.50
53,2002-04-29,male,Нижегородская,Нижний Новгород,56.3242093,44.0053948,64,2.60.0.51
55,1973-09-12,female,Курганская,Курган,55.4443448,65.3161339,45,2.60.0.52
56,1985-03-25,male,Липецкая,Липецк,52.6103027,39.5946266,21,2.60.0.53
57,1986-12-11,female,Липецкая,Липецк,52.6103027,39.5946266,21,2.60.0.54
58,1952-04-22,female,Москва,Москва,55.7538789,37.6203735,1,2.60.0.55
59,1982-02-12,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.56
60,2005-02-12,male,Костромская,Кострома,57.8029445,40.9907282,67,2.60.0.57
61,1973-07-31,female,Ярославская,Ярославль,57.6216145,39.897878,16,2.60.0.58
62,1957-12-02,male,Волгоградская,Волжский,48.7978483,44.7462417,77,2.60.0.59
63,1984-05-28,male,Вологодская,Череповец,59.1269214,37.9092243,4,2.60.0.60
64,1951-04-16,male,Иркутская,Братск,56.1513951,101.6339892,20,2.60.0.61
65,1968-05-20,female,Приморский,Владивосток,43.1163807,131.882348,50,2.60.0.62
66,1976-11-03,female,Москва,Москва,55.7538789,37.6203735,1,2.60.0.63
67,1957-11-05,female,Архангельская,Архангельск,64.5392985,40.5170083,29,2.60.0.64
68,1971-12-08,male,Ивановская,Иваново,56.9994677,40.9728231,43,2.60.0.65
70,1950-12-16,male,Новосибирская,Новосибирск,55.0281016,82.9210575,70,2.60.0.66
71,1952-01-31,female,Новосибирская,Новосибирск,55.0281016,82.9210575,70,2.60.0.67
72,1948-01-07,male,Алтайский,Барнаул,53.3481145,83.7798362,47,2.60.0.68
73,1949-02-13,male,Забайкальский,Чита,52.0340128,113.4994884,22,2.60.0.69
74,1950-07-20,female,Забайкальский,Чита,52.0340128,113.4994884,22,2.60.0.70
75,2002-09-13,female,Нижегородская,Нижний Новгород,56.3242093,44.0053948,64,2.60.0.71
76,1992-09-24,female,Пермский,Пермь,58.0103211,56.2341778,36,2.60.0.72
77,1981-02-11,female,Москва,Москва,55.7538789,37.6203735,1,2.60.0.73
78,1969-06-07,female,Ярославская,Ярославль,57.6216145,39.897878,16,2.60.0.74
79,1994-03-04,female,Северная Осетия - Алания,Владикавказ,43.0205039,44.6819383,37,2.60.0.75
80,2004-02-19,female,Нижегородская,Нижний Новгород,56.3242093,44.0053948,64,2.60.0.76
81,2001-04-23,male,Башкортостан,Уфа,54.734853,55.9578647,8,2.60.0.77
82,2004-12-18,female,Башкортостан,Уфа,54.734853,55.9578647,8,2.60.0.78
83,2003-12-19,female,Москва,Москва,55.7538789,37.6203735,1,2.60.0.79
84,2004-04-28,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.80
85,1986-08-21,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.81
86,1994-07-14,female,Москва,Москва,55.7538789,37.6203735,1,2.60.0.82
87,1971-11-11,female,Татарстан,Казань,55.7943877,49.1115312,72,2.60.0.83
89,1976-04-28,female,Москва,Москва,55.7538789,37.6203735,1,2.60.0.84
90,2000-08-10,male,Челябинская,Челябинск,55.1603659,61.4007858,52,2.60.0.85
91,1965-08-01,male,Чувашская Республика,Чебоксары,56.1439378,47.2488718,63,2.60.0.86
92,1991-06-06,female,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.87
93,1950-02-10,male,Удмуртская,Ижевск,56.8527444,53.2113961,3,2.60.0.88
94,1972-09-02,male,Ивановская,Иваново,56.9994677,40.9728231,43,2.60.0.89
95,1977-07-28,female,Ивановская,Иваново,56.9994677,40.9728231,43,2.60.0.90
96,1997-02-22,male,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.91
97,1990-11-22,male,Орловская,Орёл,52.9672573,36.0696479,26,2.60.0.92
98,1998-04-28,female,Волгоградская,Волгоград,48.7072005,44.5170207,33,2.60.0.93
99,1998-01-20,male,Волгоградская,Волгоград,48.7072005,44.5170207,33,2.60.0.94
100,1967-08-05,female,Ставропольский,Ставрополь,45.0445439,41.9690168,44,2.60.0.95
101,1968-01-17,male,Самарская,Самара,53.1951657,50.1067691,68,2.60.0.96
102,1983-09-04,female,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.97
103,1980-07-04,male,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.98
105,2005-05-20,male,Томская,Томск,56.4847036,84.9481737,31,2.60.0.99
106,1993-12-24,female,Самарская,Самара,53.1951657,50.1067691,68,2.60.0.100
107,1997-06-17,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.101
108,1988-09-06,male,Свердловская,Нижний Тагил,57.9101038,59.9813242,17,2.60.0.102
110,1992-04-06,female,Мордовия,Саранск,54.1807601,45.1862263,2,2.60.0.103
112,1960-01-19,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.104
113,1965-08-09,female,Москва,Москва,55.7538789,37.6203735,1,2.60.0.105
114,1994-06-18,female,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.106
115,1994-12-18,male,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.107
116,1967-01-22,male,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.108
117,1961-09-14,female,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.109
118,1947-07-13,male,Самарская,Тольятти,53.5206438,49.389461,55,2.60.0.110
119,1947-02-22,female,Самарская,Тольятти,53.5206438,49.389461,55,2.60.0.111
120,2001-05-04,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.112
121,2003-10-23,female,Саха /Якутия/,Якутск,62.0280273,129.7325717,41,2.60.0.113
122,1988-11-06,female,Кировская,Киров,58.6035313,49.6679219,35,2.60.0.114
123,1994-02-06,male,Бурятия,Улан-Удэ,51.8334378,107.5841511,11,2.60.0.115
124,1992-09-14,male,Ставропольский,Ставрополь,45.0445439,41.9690168,44,2.60.0.116
125,1961-10-25,male,Северная Осетия - Алания,Владикавказ,43.0205039,44.6819383,37,2.60.0.117
126,1954-09-21,female,Северная Осетия - Алания,Владикавказ,43.0205039,44.6819383,37,2.60.0.118
127,1975-12-21,female,Липецкая,Липецк,52.6103027,39.5946266,21,2.60.0.119
128,1998-03-29,female,Чувашская Республика,Чебоксары,56.1439378,47.2488718,63,2.60.0.120
129,1972-05-24,female,Нижегородская,Нижний Новгород,56.3242093,44.0053948,64,2.60.0.121
130,1967-02-08,male,Тульская,Тула,54.192017,37.6153885,53,2.60.0.122
131,2002-01-25,female,Тульская,Тула,54.192017,37.6153885,53,2.60.0.123
132,1978-01-20,male,Пермский,Пермь,58.0103211,56.2341778,36,2.60.0.124
134,1957-01-11,male,Севастополь,Севастополь,44.6167334,33.5253552,6,2.60.0.125
135,1963-09-04,female,Севастополь,Севастополь,44.6167334,33.5253552,6,2.60.0.126
136,1946-01-20,female,Самарская,Тольятти,53.5206438,49.389461,55,2.60.0.127
137,1948-09-07,male,Хабаровский,Хабаровск,48.4647991,135.0598811,60,2.60.0.128
138,1997-10-15,female,Свердловская,Екатеринбург,56.8386326,60.6054887,54,2.60.0.129
139,1984-07-18,female,Башкортостан,Уфа,54.734853,55.9578647,8,2.60.0.130
140,1986-05-31,male,Башкортостан,Уфа,54.734853,55.9578647,8,2.60.0.131
141,1950-10-27,male,Томская,Томск,56.4847036,84.9481737,31,2.60.0.132
142,1962-06-15,male,Самарская,Самара,53.1951657,50.1067691,68,2.60.0.133
143,2003-07-03,male,Брянская,Брянск,53.2420071,34.3652716,27,2.60.0.134
144,1983-11-30,male,Ростовская,Таганрог,47.2094907,38.935154,65,2.60.0.135
145,2003-02-08,male,Самарская,Тольятти,53.5206438,49.389461,55,2.60.0.136
146,1986-12-13,female,Томская,Томск,56.4847036,84.9481737,31,2.60.0.137
147,1958-10-27,female,Липецкая,Липецк,52.6103027,39.5946266,21,2.60.0.138
148,1965-12-19,male,Липецкая,Липецк,52.6103027,39.5946266,21,2.60.0.139
149,1973-06-21,male,Самарская,Тольятти,53.5206438,49.389461,55,2.60.0.140
150,2005-09-21,female,Мордовия,Саранск,54.1807601,45.1862263,2,2.60.0.141
151,1996-09-16,female,Дагестан,Махачкала,42.9848572,47.5046303,51,2.60.0.142
152,1970-11-26,female,Архангельская,Архангельск,64.5392985,40.5170083,29,2.60.0.143
153,2006-02-06,female,Краснодарский,Сочи,43.5855829,39.7231419,13,2.60.0.144
154,1958-08-21,male,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.145
155,1964-03-06,female,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.146
156,1955-07-16,female,Свердловская,Екатеринбург,56.8386326,60.6054887,54,2.60.0.147
157,1968-07-02,female,Челябинская,Челябинск,55.1603659,61.4007858,52,2.60.0.148
158,1970-06-27,female,Пензенская,Пенза,53.1753884,45.0347408,40,2.60.0.149
159,1963-09-04,male,Пензенская,Пенза,53.1753884,45.0347408,40,2.60.0.150
160,1967-04-20,female,Нижегородская,Нижний Новгород,56.3242093,44.0053948,64,2.60.0.151
161,1968-09-30,female,Чеченская,Грозный,43.3179243,45.6981102,34,2.60.0.152
162,1966-10-11,male,Ростовская,Таганрог,47.2094907,38.935154,65,2.60.0.153
163,1958-06-06,male,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.154
164,1987-03-29,female,Новосибирская,Новосибирск,55.0281016,82.9210575,70,2.60.0.155
165,1993-11-02,male,Забайкальский,Чита,52.0340128,113.4994884,22,2.60.0.156
166,1986-10-16,female,Забайкальский,Чита,52.0340128,113.4994884,22,2.60.0.157
167,2003-04-12,female,Саратовская,Саратов,51.530376,45.9530257,38,2.60.0.158
168,2001-10-30,female,Марий Эл,Йошкар-Ола,56.6343763,47.8998445,24,2.60.0.159
169,1978-09-06,male,Саратовская,Саратов,51.530376,45.9530257,38,2.60.0.160
170,1971-06-10,female,Саратовская,Саратов,51.530376,45.9530257,38,2.60.0.161
171,1954-06-19,male,Дагестан,Махачкала,42.9848572,47.5046303,51,2.60.0.162
172,1960-09-28,female,Дагестан,Махачкала,42.9848572,47.5046303,51,2.60.0.163
173,1943-12-02,female,Липецкая,Липецк,52.6103027,39.5946266,21,2.60.0.164
174,2003-11-04,male,Белгородская,Белгород,50.5977351,36.5858236,10,2.60.0.165
175,1985-07-07,male,Томская,Томск,56.4847036,84.9481737,31,2.60.0.166
176,1954-03-05,male,Вологодская,Череповец,59.1269214,37.9092243,4,2.60.0.167
178,1985-12-16,male,Башкортостан,Уфа,54.734853,55.9578647,8,2.60.0.168
179,2005-12-23,male,Ивановская,Иваново,56.9994677,40.9728231,43,2.60.0.169
180,2006-01-12,male,Оренбургская,Оренбург,51.7875191,55.1017379,73,2.60.0.170
181,1992-06-29,male,Тюменская,Тюмень,57.1530824,65.5343118,76,2.60.0.171
182,1984-07-06,female,Тюменская,Тюмень,57.1530824,65.5343118,76,2.60.0.172
183,2003-03-13,female,Москва,Москва,55.7538789,37.6203735,1,2.60.0.173
184,1997-05-30,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.174
185,1979-05-24,male,Волгоградская,Волжский,48.7978483,44.7462417,77,2.60.0.175
186,1986-02-16,female,Омская,Омск,54.9848136,73.3674638,46,2.60.0.176
187,1967-08-17,male,Ханты-Мансийский Автономный округ - Югра,Нижневартовск,60.9397379,76.5696206,58,2.60.0.177
188,1985-08-27,male,Нижегородская,Нижний Новгород,56.3242093,44.0053948,64,2.60.0.178
189,1944-08-03,male,Бурятия,Улан-Удэ,51.8334378,107.5841511,11,2.60.0.179
190,1972-10-24,female,Северная Осетия - Алания,Владикавказ,43.0205039,44.6819383,37,2.60.0.180
191,1979-08-28,male,Северная Осетия - Алания,Владикавказ,43.0205039,44.6819383,37,2.60.0.181
192,1996-02-22,male,Новосибирская,Новосибирск,55.0281016,82.9210575,70,2.60.0.182
193,1987-04-25,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.183
194,1949-12-14,female,Челябинская,Магнитогорск,53.4071891,58.9791432,28,2.60.0.184
195,1944-11-11,male,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.185
196,1952-06-18,female,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.186
197,1958-04-19,male,Вологодская,Вологда,59.2484186,39.8356461,30,2.60.0.187
198,2001-07-08,male,Хабаровский,Хабаровск,48.4647991,135.0598811,60,2.60.0.188
199,1948-06-14,male,Архангельская,Архангельск,64.5392985,40.5170083,29,2.60.0.189
200,1953-01-06,female,Архангельская,Архангельск,64.5392985,40.5170083,29,2.60.0.190
201,1955-08-13,female,Свердловская,Нижний Тагил,57.9101038,59.9813242,17,2.60.0.191
202,2001-11-15,female,Архангельская,Архангельск,64.5392985,40.5170083,29,2.60.0.192
203,1987-06-04,male,Томская,Томск,56.4847036,84.9481737,31,2.60.0.193
204,1992-06-10,female,Томская,Томск,56.4847036,84.9481737,31,2.60.0.194
205,1967-06-09,female,Вологодская,Череповец,59.1269214,37.9092243,4,2.60.0.195
206,1988-04-06,female,Краснодарский,Краснодар,45.040235,38.9760801,59,2.60.0.196
207,1957-05-14,male,Омская,Омск,54.9848136,73.3674638,46,2.60.0.197
208,1965-06-19,female,Краснодарский,Сочи,43.5855829,39.7231419,13,2.60.0.198
209,1960-08-13,male,Краснодарский,Сочи,43.5855829,39.7231419,13,2.60.0.199
210,1964-11-23,male,Воронежская,Воронеж,51.6592378,39.1968284,66,2.60.0.200
211,1970-06-22,female,Воронежская,Воронеж,51.6592378,39.1968284,66,2.60.0.201
212,2000-02-04,male,Челябинская,Челябинск,55.1603659,61.4007858,52,2.60.0.202
215,1992-09-17,male,Мурманская,Мурманск,69.0076958,33.0686019,71,2.60.0.203
216,1985-01-23,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.204
217,1999-12-16,female,Краснодарский,Краснодар,45.040235,38.9760801,59,2.60.0.205
218,2005-01-16,female,Москва,Москва,55.7538789,37.6203735,1,2.60.0.206
219,1989-03-27,female,Хабаровский,Хабаровск,48.4647991,135.0598811,60,2.60.0.207
221,2002-02-19,female,Липецкая,Липецк,52.6103027,39.5946266,21,2.60.0.208
222,1997-06-23,female,Алтайский,Барнаул,53.3481145,83.7798362,47,2.60.0.209
223,1977-02-20,female,Ивановская,Иваново,56.9994677,40.9728231,43,2.60.0.210
224,1980-05-04,male,Волгоградская,Волжский,48.7978483,44.7462417,77,2.60.0.211
225,1961-05-04,male,Курская,Курск,51.7303391,36.1926448,32,2.60.0.212
226,1967-06-10,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.213
227,1951-12-12,female,Челябинская,Челябинск,55.1603659,61.4007858,52,2.60.0.214
228,1981-03-10,female,Кемеровская,Кемерово,55.3909721,86.0467864,48,2.60.0.215
229,1994-07-16,male,Тюменская,Тюмень,57.1530824,65.5343118,76,2.60.0.216
230,1992-03-03,female,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.0.217
231,1966-02-12,male,Саха /Якутия/,Якутск,62.0280273,129.7325717,41,2.60.0.218
232,1946-06-11,female,Самарская,Тольятти,53.5206438,49.389461,55,2.60.0.219
233,1983-11-27,female,Иркутская,Иркутск,52.2863513,104.280655,69,2.60.0.220
234,1980-06-14,male,Иркутская,Иркутск,52.2863513,104.280655,69,2.60.0.221
235,1968-08-21,female,Ставропольский,Ставрополь,45.0445439,41.9690168,44,2.60.0.222
236,1986-08-26,male,Новосибирская,Новосибирск,55.0281016,82.9210575,70,2.60.0.223
237,1994-02-16,female,Новосибирская,Новосибирск,55.0281016,82.9210575,70,2.60.0.224
238,1986-11-22,female,Севастополь,Севастополь,44.6167334,33.5253552,6,2.60.0.225
239,1999-09-04,female,Москва,Москва,55.7538789,37.6203735,1,2.60.0.226
240,1954-06-11,female,Чеченская,Грозный,43.3179243,45.6981102,34,2.60.0.227
241,1984-01-17,male,Новосибирская,Новосибирск,55.0281016,82.9210575,70,2.60.0.228
242,1986-07-26,female,Свердловская,Нижний Тагил,57.9101038,59.9813242,17,2.60.0.229
243,1979-02-04,male,Чувашская Республика,Чебоксары,56.1439378,47.2488718,63,2.60.0.230
246,1995-12-22,female,Костромская,Кострома,57.8029445,40.9907282,67,2.60.0.231
247,1982-05-02,male,Москва,Москва,55.7538789,37.6203735,1,2.60.0.232
248,1994-12-06,female,Тверская,Тверь,56.8585396,35.9117898,61,2.60.0.233
249,1995-04-29,male,Тверская,Тверь,56.8585396,35.9117898,61,2.60.0.234
250,2004-11-18,female,Башкортостан,Уфа,54.734853,55.9578647,8,2.60.0.235
251,2001-02-25,female,Свердловская,Екатеринбург,56.8386326,60.6054887,54,2.60.0.236
252,1994-08-26,female,Северная Осетия - Алания,Владикавказ,43.0205039,44.6819383,37,2.60.0.237
253,1972-05-05,female,Кемеровская,Кемерово,55.3909721,86.0467864,48,2.60.0.238
254,1988-05-23,male,Челябинская,Магнитогорск,53.4071891,58.9791432,28,2.60.0.239
255,1976-10-04,female,Брянская,Брянск,53.2420071,34.3652716,27,2.60.0.240
256,1988-02-21,female,Оренбургская,Оренбург,51.7875191,55.1017379,73,2.60.0.241
257,1967-10-29,female,Забайкальский,Чита,52.0340128,113.4994884,22,2.60.0.242
258,1962-05-25,male,Забайкальский,Чита,52.0340128,113.4994884,22,2.60.0.243
259,1991-06-02,male,Томская,Томск,56.4847036,84.9481737,31,2.60.0.244
260,1987-02-18,female,Томская,Томск,56.4847036,84.9481737,31,2.60.0.245
261,1962-12-01,female,Саратовская,Саратов,51.530376,45.9530257,38,2.60.0.246
262,1970-11-19,male,Волгоградская,Волжский,48.7978483,44.7462417,77,2.60.0.247
263,1987-05-14,male,Самарская,Самара,53.1951657,50.1067691,68,2.60.0.248
264,2003-08-16,male,Челябинская,Магнитогорск,53.4071891,58.9791432,28,2.60.0.249
265,1958-01-01,female,Татарстан,Казань,55.7943877,49.1115312,72,2.60.0.250
266,1992-08-21,female,Красноярский,Красноярск,56.009466,92.8524162,19,2.60.0.251
267,1992-06-05,male,Северная Осетия - Алания,Владикавказ,43.0205039,44.6819383,37,2.60.0.252
268,2006-04-25,female,Смоленская,Смоленск,54.7867168,31.8153366,39,2.60.0.253
269,1948-11-26,female,Ульяновская,Ульяновск,54.3080674,48.3748717,15,2.60.0.254
270,1972-03-01,male,Омская,Омск,54.9848136,73.3674638,46,2.60.0.255
271,1970-07-21,female,Омская,Омск,54.9848136,73.3674638,46,2.60.1.0
272,1969-10-19,female,Новосибирская,Новосибирск,55.0281016,82.9210575,70,2.60.1.1
273,1997-05-09,female,Брянская,Брянск,53.2420071,34.3652716,27,2.60.1.2
274,1995-11-19,female,Свердловская,Нижний Тагил,57.9101038,59.9813242,17,2.60.1.3
275,1943-11-06,female,Москва,Москва,55.7538789,37.6203735,1,2.60.1.4
276,1982-06-05,male,Москва,Москва,55.7538789,37.6203735,1,2.60.1.5
277,1986-11-22,female,Москва,Москва,55.7538789,37.6203735,1,2.60.1.6
278,1997-12-21,female,Забайкальский,Чита,52.0340128,113.4994884,22,2.60.1.7
279,1995-05-10,male,Забайкальский,Чита,52.0340128,113.4994884,22,2.60.1.8
280,1994-12-12,female,Курганская,Курган,55.4443448,65.3161339,45,2.60.1.9
282,1963-02-18,female,Оренбургская,Оренбург,51.7875191,55.1017379,73,2.60.1.10
283,1958-10-29,male,Оренбургская,Оренбург,51.7875191,55.1017379,73,2.60.1.11
284,1999-07-31,male,Белгородская,Белгород,50.5977351,36.5858236,10,2.60.1.12
285,1979-05-28,male,Татарстан,Казань,55.7943877,49.1115312,72,2.60.1.13
286,1977-04-12,female,Татарстан,Казань,55.7943877,49.1115312,72,2.60.1.14
287,2005-09-03,male,Приморский,Владивосток,43.1163807,131.882348,50,2.60.1.15
288,1987-04-15,male,Севастополь,Севастополь,44.6167334,33.5253552,6,2.60.1.16
289,1983-03-21,male,Свердловская,Екатеринбург,56.8386326,60.6054887,54,2.60.1.17
290,1984-01-06,male,Татарстан,Казань,55.7943877,49.1115312,72,2.60.1.18
291,1980-04-20,female,Татарстан,Казань,55.7943877,49.1115312,72,2.60.1.19
292,1983-08-31,female,Ульяновская,Ульяновск,54.3080674,48.3748717,15,2.60.1.20
293,1968-09-20,male,Иркутская,Иркутск,52.2863513,104.280655,69,2.60.1.21
294,1993-03-15,male,Ханты-Мансийский Автономный округ - Югра,Нижневартовск,60.9397379,76.5696206,58,2.60.1.22
295,1964-03-20,male,Карелия,Петрозаводск,61.78909,34.3596263,12,2.60.1.23
296,1999-02-23,male,Ростовская,Таганрог,47.2094907,38.935154,65,2.60.1.24
297,1949-03-09,female,Ростовская,Таганрог,47.2094907,38.935154,65,2.60.1.25
298,1946-06-07,male,Ростовская,Таганрог,47.2094907,38.935154,65,2.60.1.26
300,1982-07-24,female,Москва,Москва,55.7538789,37.6203735,1,2.60.1.27
301,1967-01-04,male,Челябинская,Магнитогорск,53.4071891,58.9791432,28,2.60.1.28
302,1996-02-17,male,Крым,Симферополь,44.9482645,34.100117,56,2.60.1.29
303,1971-04-30,male,Санкт-Петербург,Санкт-Петербург,59.939125,30.3158225,74,2.60.1.30
304,1959-03-05,female,Красноярский,Красноярск,56.009466,92.8524162,19,2.60.1.31
305,1963-06-02,male,Омская,Омск,54.9848136,73.3674638,46,2.60.1.32
308,2001-06-06,female,Самарская,Самара,53.1951657,50.1067691,68,2.60.1.33
309,1994-12-08,female,Северная Осетия - Алания,Владикавказ,43.0205039,44.6819383,37,2.60.1.34
310,1975-04-10,male,Бурятия,Улан-Удэ,51.8334378,107.5841511,11,2.60.1.35
311,1955-09-10,female,Нижегородская,Нижний Новгород,56.3242093,44.0053948,64,2.60.1.36
312,1949-06-27,male,Мордовия,Саранск,54.1807601,45.1862263,2,2.60.1.37
313,1967-05-05,female,Марий Эл,Йошкар-Ола,56.6343763,47.8998445,24,2.60.1.38
314,1970-03-16,male,Марий Эл,Йошкар-Ола,56.6343763,47.8998445,24,2.60.1.39
315,1992-04-24,male,Свердловская,Екатеринбург,56.8386326,60.6054887,54,2.60.1.40
316,1980-04-21,male,Калининградская,Калининград,54.7073218,20.5072458,75,2.60.1.41
317,1982-09-30,female,Нижегородская,Нижний Новгород,56.3242093,44.0053948,64,2.60.1.42
318,1968-03-26,female,Ульяновская,Ульяновск,54.3080674,48.3748717,15,2.60.1.43
319,1954-03-29,female,Красноярский,Красноярск,56.009466,92.8524162,19,2.60.1.44
320,1959-11-06,male,Красноярский,Красноярск,56.009466,92.8524162,19,2.60.1.45
321,1968-10-17,female,Алтайский,Барнаул,53.3481145,83.7798362,47,2.60.1.46
322,1958-01-26,male,Саратовская,Саратов,51.530376,45.9530257,38,2.60.1.47
323,1963-03-29,female,Саратовская,Саратов,51.530376,45.9530257,38,2.60.1.48
324,1985-11-27,male,Удмуртская,Ижевск,56.8527444,53.2113961,3,2.60.1.49
325,1985-02-14,male,Удмуртская,Ижевск,56.8527444,53.2113961,3,2.60.1.50
326,1992-09-11,female,Брянская,Брянск,53.2420071,34.3652716,27,2.60.1.51
327,1993-10-07,male,Брянская,Брянск,53.2420071,34.3652716,27,2.60.1.52
328,1943-01-18,female,Москва,Москва,55.7538789,37.6203735,1,2.60.1.53
