client_id,district_id,birth_date,sex
139,8,1959-07-25,female
140,8,1961-06-06,male
141,31,1925-11-02,male
142,68,1937-06-21,male
143,27,1978-07-09,male
144,65,1958-12-06,male
145,55,1978-02-14,male
146,31,1961-12-19,female
147,21,1933-11-02,female
148,21,1940-12-25,male
149,55,1948-06-27,male
150,2,1980-09-27,female
151,51,1971-09-23,female
152,29,1945-12-02,female
153,13,1981-02-12,female
154,74,1933-08-27,male
155,74,1939-03-13,female
156,54,1930-07-22,female
157,52,1943-07-09,female
158,40,1945-07-03,female
159,40,1938-09-10,male
160,64,1942-04-26,female
161,34,1943-10-07,female
162,65,1941-10-17,male
163,74,1933-06-12,male
164,70,1962-04-04,female
165,22,1968-11-08,male
166,22,1961-10-22,female
167,38,1978-04-18,female
168,24,1976-11-05,female
169,38,1953-09-12,male
170,38,1946-06-16,female
171,51,1929-06-25,male
172,51,1935-10-05,female
173,21,1918-12-08,female
174,10,1978-11-10,male
175,31,1960-07-13,male
176,4,1929-03-11,male
178,8,1960-12-22,male
179,43,1980-12-29,male
180,73,1982-01-19,male
181,76,1967-07-06,male
182,76,1959-07-13,female
183,1,1978-03-19,female
184,1,1972-06-05,male
185,77,1954-05-30,male
186,46,1961-02-22,female
187,58,1942-08-23,male
188,64,1960-09-02,male
189,11,1919-08-10,male
190,37,1947-10-31,female
191,37,1954-09-03,male
192,70,1971-02-28,male
193,1,1962-05-01,male
194,28,1924-12-20,female
195,74,1919-11-18,male
196,74,1927-06-25,female
197,30,1933-04-25,male
198,60,1976-07-14,male
199,29,1923-06-21,male
200,29,1928-01-13,female
201,17,1930-08-19,female
202,29,1976-11-21,female
203,31,1962-06-10,male
204,31,1967-06-17,female
205,4,1942-06-15,female
206,59,1963-04-13,female
207,46,1932-05-20,male
208,13,1940-06-25,female
209,13,1935-08-20,male
210,66,1939-11-30,male
211,66,1945-06-28,female
212,52,1975-02-10,male
215,71,1967-09-24,male
216,1,1960-01-30,male
217,59,1974-12-22,female
218,1,1980-01-23,female
219,60,1964-04-02,female
221,21,1977-02-25,female
222,47,1972-06-29,female
223,43,1952-02-27,female
224,77,1955-05-11,male
225,32,1936-05-10,male
226,1,1942-06-16,male
227,52,1926-12-18,female
228,48,1956-03-16,female
229,76,1969-07-22,male
230,74,1967-03-10,female
231,41,1941-02-18,male
232,55,1921-06-17,female
233,69,1958-12-03,female
234,69,1955-06-21,male
235,44,1943-08-28,female
236,70,1961-09-01,male
237,70,1969-02-22,female
238,6,1961-11-28,female
239,1,1974-09-10,female
240,34,1929-06-17,female
241,70,1959-01-23,male
242,17,1961-08-01,female
243,63,1954-02-10,male
246,67,1970-12-28,female
247,1,1957-05-08,male
248,61,1969-12-12,female
249,61,1970-05-05,male
250,8,1979-11-25,female
251,54,1976-03-03,female
252,37,1969-09-01,female
253,48,1947-05-12,female
254,28,1963-05-30,male
255,27,1951-10-11,female
256,73,1963-02-27,female
257,22,1942-11-04,female
258,22,1937-05-31,male
259,31,1966-06-08,male
260,31,1962-02-24,female
261,38,1937-12-07,female
262,77,1945-11-25,male
263,68,1962-05-20,male
264,28,1978-08-22,male
265,72,1933-01-07,female
266,19,1967-08-28,female
267,37,1967-06-12,male
268,39,1982-05-02,female
269,15,1923-12-03,female
270,46,1947-03-08,male
271,46,1945-07-27,female
272,70,1944-10-25,female
273,27,1972-05-15,female
274,17,1970-11-25,female
275,1,1918-11-12,female
276,1,1957-06-11,male
277,1,1961-11-28,female
278,22,1972-12-27,female
279,22,1970-05-16,male
280,45,1969-12-18,female
282,73,1938-02-24,female
283,73,1933-11-04,male
284,10,1974-08-06,male
285,72,1954-06-03,male
286,72,1952-04-18,female
287,50,1980-09-09,male
288,6,1962-04-21,male
289,54,1958-03-27,male
290,72,1959-01-12,male
291,72,1955-04-27,female
292,15,1958-09-06,female
293,69,1943-09-27,male
294,58,1968-03-21,male
295,12,1939-03-27,male
296,65,1974-03-01,male
297,65,1924-03-15,female
298,65,1921-06-13,male
300,1,1957-07-30,female
301,28,1942-01-10,male
302,56,1971-02-23,male
303,74,1946-05-06,male
304,19,1934-03-11,female
305,46,1938-06-08,male
308,68,1976-06-12,female
309,37,1969-12-14,female
310,11,1950-04-16,male
311,64,1930-09-16,female
312,2,1924-07-03,male
313,24,1942-05-11,female
314,24,1945-03-22,male
315,54,1967-05-01,male
316,75,1955-04-28,male
317,64,1957-10-06,female
318,15,1943-04-02,female
319,19,1929-04-04,female
320,19,1934-11-12,male
321,47,1943-10-24,female
322,38,1933-02-01,male
323,38,1938-04-04,female
324,3,1960-12-03,male
325,3,1960-02-21,male
326,27,1967-09-18,female
327,27,1968-10-13,male
328,1,1918-01-24,female
329,11,1964-12-03,male
330,65,1944-08-05,female
331,1,1942-03-02,male
332,29,1978-07-25,male
333,38,1971-10-19,male
334,32,1969-10-31,male
335,73,1967-07-22,female
336,39,1964-02-11,female
337,39,1957-05-08,male
338,8,1951-06-19,female
339,1,1966-07-30,male
340,1,1970-08-19,female
341,69,1977-03-16,male
342,69,1972-06-30,female
343,44,1919-11-19,male
344,54,1963-07-16,female
345,17,1953-12-07,male
346,17,1960-11-02,female
347,71,1959-12-13,male
348,71,1953-01-24,female
349,39,1927-05-27,female
350,25,1925-04-02,female
351,1,1973-05-01,male
352,56,1940-08-27,male
353,7,1965-10-26,male
354,49,1922-04-27,female
355,49,1930-05-31,male
356,1,1979-12-07,female
357,1,1979-03-30,male
358,7,1959-06-26,female
359,66,1970-02-16,male
360,49,1943-04-27,male
361,74,1977-05-25,female
362,35,1950-04-27,female
363,35,1942-07-01,male
364,54,1942-12-05,female
365,1,1930-01-09,male
366,1,1936-11-10,female
367,60,1963-09-03,female
368,60,1968-10-14,male
369,7,1930-11-06,female
370,71,1956-01-05,female
371,4,1942-07-16,male
372,34,1932-04-03,male
373,16,1936-02-28,male
374,26,1967-06-14,male
375,61,1969-09-29,female
376,14,1973-01-08,female
378,50,1978-05-15,male
379,50,1983-10-13,female
380,41,1973-01-19,male
381,73,1977-01-26,female
382,73,1978-06-30,male
383,15,1939-05-17,female
384,15,1935-10-08,male
385,45,1948-03-24,male
386,62,1980-08-21,male
387,76,1927-06-06,male
388,36,1950-10-30,female
389,47,1974-06-30,female
390,47,1977-01-27,female
391,47,1933-05-22,female
392,74,1950-04-01,female
393,74,1956-08-31,male
394,52,1924-05-18,female
395,52,1919-07-05,male
396,1,1920-05-02,male
397,75,1930-03-27,male
398,61,1925-03-26,female
399,45,1952-04-14,male
400,1,1933-12-27,male
401,1,1928-11-19,female
402,3,1943-12-25,male
403,42,1973-05-26,female
404,42,1967-04-20,male
405,65,1934-10-19,female
406,36,1977-05-15,male
407,73,1975-05-27,female
408,35,1978-02-22,female
409,74,1925-06-18,male
410,62,1962-12-20,male
411,17,1941-04-14,female
412,17,1944-04-17,male
413,49,1972-11-18,female
414,46,1947-10-19,female
415,46,1945-04-01,male
416,1,1932-10-07,female
417,1,1930-06-10,male
418,28,1966-10-13,male
419,64,1970-10-07,female
420,18,1978-03-13,male
421,54,1965-07-31,male
422,69,1946-12-07,male
423,37,1957-06-23,male
424,1,1947-10-08,male
425,25,1948-02-12,male
426,72,1937-06-01,male
427,72,1941-09-14,female
428,47,1919-11-16,female
429,50,1981-01-20,female
430,39,1920-07-28,male
431,24,1927-10-01,female
432,59,1952-03-26,female
433,62,1955-02-07,male
434,70,1943-01-30,female
435,20,1967-10-23,male
436,2,1955-06-15,male
437,11,1920-01-17,female
438,32,1938-09-28,male
439,51,1968-09-12,female
440,15,1970-07-07,female
441,1,1959-09-14,male
442,1,1971-12-16,female
443,1,1971-12-20,male
444,74,1960-08-01,female
445,1,1947-04-27,female
446,1,1952-03-19,male
447,23,1946-09-04,male
448,77,1970-08-15,female
450,25,1953-11-27,male
451,12,1979-04-14,male
452,55,1953-10-22,female
453,67,1969-07-16,male
454,38,1949-06-15,female
455,68,1920-07-26,male
456,25,1940-02-28,male
457,70,1950-09-26,male
458,68,1961-07-24,male
459,32,1967-07-23,female
461,68,1970-08-13,female
462,14,1970-12-21,male
463,38,1944-04-05,male
464,24,1959-07-30,female
465,5,1952-09-01,male
466,1,1947-11-19,female
467,1,1950-04-17,male
468,72,1959-04-27,male
469,59,1970-10-13,female
470,30,1954-04-21,female
471,44,1977-01-11,male
472,36,1981-12-27,male
473,1,1939-09-25,female
474,46,1949-05-31,male
476,1,1947-06-01,female
477,1,1954-07-20,male
478,21,1978-06-21,male
479,11,1947-08-20,male
480,11,1946-01-24,female
481,69,1927-01-22,male
482,69,1934-01-22,female
483,1,1944-06-19,male
484,28,1959-09-13,female
485,32,1978-05-16,male
486,68,1944-04-12,male
487,1,1922-04-01,female
488,1,1917-08-02,male
489,41,1940-10-07,male
490,55,1950-10-23,male
491,63,1966-08-05,male
492,72,1935-10-26,male
493,41,1942-06-04,female
494,1,1980-05-19,male
495,49,1937-04-07,female
496,70,1951-05-21,female
497,74,1953-02-02,male
498,74,1948-01-15,female
499,18,1935-07-08,female
500,1,1971-01-06,male
501,62,1937-10-28,male
502,6,1919-12-08,male
503,73,1959-07-24,male
504,36,1979-08-01,male
505,13,1977-12-21,male
506,75,1946-08-16,male
507,75,1954-11-16,male
508,53,1971-04-28,male
509,73,1980-05-02,male
510,12,1976-04-15,male
511,9,1959-02-18,male
512,60,1965-08-03,female
513,8,1974-01-11,female
514,8,1968-11-15,male
515,1,1932-05-26,male
516,1,1930-04-27,female
517,63,1965-07-25,male
518,54,1979-04-28,female
519,18,1980-04-13,male
520,46,1947-09-27,female
521,69,1975-12-25,male
522,1,1956-03-04,female
523,38,1922-12-17,male
524,30,1963-01-02,female
525,30,1969-08-14,male
526,43,1964-02-01,male
527,43,1966-08-18,female
528,37,1977-02-11,male
529,69,1978-11-05,male
530,29,1957-09-27,female
531,27,1976-10-04,male
532,27,1980-09-03,female
533,54,1941-05-19,female
534,74,1957-07-22,male
535,26,1937-09-09,male
536,47,1939-08-25,male
537,1,1935-01-16,male
538,5,1948-05-10,female
540,19,1921-07-28,male
541,19,1927-03-09,female
542,59,1921-02-09,female
543,11,1958-04-15,female
544,63,1948-11-16,male
545,75,1973-10-11,female
546,7,1953-08-25,male
547,54,1949-03-31,male
548,49,1937-12-04,male
550,7,1961-11-30,male
551,47,1976-07-05,female
552,1,1934-05-08,female
553,1,1941-04-07,male
554,30,1925-04-19,female
555,30,1926-10-21,male
556,29,1946-07-08,male
557,51,1939-07-17,male
558,43,1920-07-05,female
559,32,1972-09-05,female
560,71,1967-12-16,female
561,74,1962-11-10,female
562,49,1975-09-22,female
563,72,1961-09-09,female
564,72,1955-01-24,male
565,64,1959-07-03,female
566,47,1946-03-05,female
567,47,1950-05-02,male
568,8,1960-07-19,female
569,73,1962-06-15,male
570,61,1941-01-31,female
571,3,1924-09-27,male
572,3,1920-08-04,female
573,69,1967-08-10,male
574,1,1972-12-25,male
575,58,1970-04-04,male
576,58,1974-05-12,female
577,1,1963-12-05,female
578,23,1977-07-07,female
579,72,1933-05-31,female
581,70,1949-02-04,female
582,1,1950-09-26,male
583,75,1965-01-01,female
584,33,1976-05-13,female
585,40,1942-02-21,female
586,40,1947-11-03,male
587,25,1945-07-08,female
588,61,1960-10-20,female
589,45,1961-09-17,male
590,44,1949-02-15,male
591,65,1974-10-29,female
592,26,1965-07-18,male
593,60,1954-07-10,female
596,69,1948-10-24,male
597,55,1943-02-22,male
598,1,1970-12-31,male
599,1,1977-05-18,female
601,56,1966-03-12,male
602,56,1965-01-16,female
603,13,1966-03-09,female
604,1,1965-07-31,female
605,1,1970-08-27,female
606,10,1949-01-25,female
607,64,1964-03-30,male
608,67,1972-08-31,male
609,52,1962-09-02,male
610,74,1979-08-10,female
611,36,1952-10-13,male
612,36,1960-11-10,female
613,1,1977-08-10,female
614,14,1947-02-03,female
615,68,1949-09-13,female
616,58,1975-01-01,male
617,70,1974-03-14,male
618,57,1932-03-16,female
619,6,1920-09-07,male
620,6,1918-02-13,female
621,54,1939-03-17,male
622,74,1931-11-23,female
623,24,1925-09-04,male
624,24,1932-07-26,female
625,60,1978-11-24,female
626,9,1980-04-13,male
627,17,1972-04-11,male
628,17,1970-05-27,female
629,16,1976-03-10,male
630,61,1952-03-03,male
631,70,1956-03-22,female
632,67,1946-03-16,male
633,67,1938-06-12,female
635,17,1927-06-29,female
636,17,1935-02-17,male
637,39,1970-12-15,female
638,54,1961-02-03,female
639,31,1978-08-02,male
640,26,1979-04-15,male
641,40,1962-07-04,female
642,40,1963-10-25,male
643,1,1949-06-13,female
644,35,1961-04-23,female
645,14,1925-12-21,male
646,34,1922-09-29,female
647,34,1929-04-06,male
648,70,1935-09-28,female
649,13,1978-05-02,female
651,54,1976-01-27,female
652,61,1938-12-08,male
653,1,1930-11-21,female
654,64,1942-05-17,female
655,32,1942-12-10,male
656,1,1956-06-06,male
657,8,1926-07-10,female
658,8,1926-12-21,male
659,24,1965-12-07,male
660,16,1923-03-22,male
661,16,1919-01-15,female
662,5,1945-08-07,male
663,24,1923-01-20,male
664,77,1980-03-19,female
665,62,1932-04-05,female
666,26,1982-05-23,male
667,26,1981-07-20,female
668,1,1942-12-25,female
669,12,1956-12-19,female
670,1,1959-01-21,male
671,10,1971-02-27,female
672,46,1929-11-09,female
673,36,1939-10-29,male
674,11,1927-01-11,female
675,50,1975-11-12,male
676,70,1953-02-07,male
677,5,1963-05-24,male
678,39,1933-05-28,female
679,8,1940-03-19,male
680,8,1940-05-09,female
681,15,1977-01-15,male
682,18,1979-10-21,male
683,76,1945-08-29,female
684,3,1976-04-10,female
685,72,1930-12-13,female
686,32,1971-10-03,female
687,32,1975-01-28,male
688,1,1954-05-04,male
689,70,1964-08-02,male
690,38,1942-11-07,male
691,38,1944-01-13,female
692,74,1936-01-11,female
693,74,1935-03-17,male
694,29,1936-02-28,male
695,28,1955-06-27,male
696,28,1952-12-01,female
697,1,1974-05-01,male
698,75,1954-02-27,male
699,26,1922-04-22,female
700,12,1929-11-20,male
702,31,1968-11-07,female
703,4,1959-04-26,male
704,54,1975-05-01,male
705,19,1938-12-10,male
706,1,1948-08-05,male
707,1,1941-12-14,male
708,50,1977-11-27,female
709,1,1934-12-29,male
710,23,1925-11-28,male
711,48,1963-08-16,female
712,54,1962-12-04,male
713,20,1980-03-29,female
714,31,1970-10-08,male
715,1,1952-01-15,female
716,1,1954-12-04,female
717,54,1968-05-02,male
718,54,1960-02-28,female
719,46,1974-08-09,male
720,29,1954-09-06,male
721,43,1940-02-15,male
722,62,1970-11-25,female
723,12,1957-07-26,female
724,65,1953-02-02,female
725,75,1956-12-11,male
726,16,1935-02-13,male
727,32,1930-07-20,female
728,32,1932-01-20,male
729,63,1969-03-17,female
730,63,1973-08-14,male
731,74,1979-01-22,female
732,74,1978-07-05,male
733,46,1978-07-28,male
734,46,1985-01-14,female
735,1,1973-11-26,male
736,1,1977-04-26,female
737,74,1952-11-04,male
738,25,1920-03-26,male
739,72,1942-04-16,male
740,55,1923-11-07,male
741,74,1941-07-09,male
742,1,1951-10-15,female
743,1,1941-02-17,male
744,26,1940-07-18,male
745,52,1966-02-14,female
746,52,1962-04-16,male
747,24,1953-08-20,female
748,25,1936-10-15,male
749,25,1933-07-29,female
750,70,1956-09-29,female
751,70,1959-03-09,male
752,72,1944-12-20,male
753,72,1940-09-24,female
754,63,1947-06-04,female
755,72,1947-11-21,male
756,31,1920-05-13,male
757,71,1970-12-20,female
758,68,1961-07-26,female
759,29,1955-05-20,male
760,57,1936-08-25,female
762,21,1937-04-20,male
763,75,1927-08-24,female
764,49,1955-10-13,female
765,65,1969-12-31,male
766,1,1926-07-03,female
767,1,1923-06-16,male
768,32,1931-09-23,female
769,40,1977-12-15,male
772,64,1944-12-10,male
773,4,1935-10-30,male
774,70,1973-03-03,male
775,51,1940-11-30,female
776,1,1953-05-03,female
777,1,1961-05-20,male
778,13,1940-06-04,male
779,69,1944-06-12,female
780,3,1924-02-26,male
781,72,1945-09-20,male
782,5,1963-03-18,female
783,27,1971-03-25,female
784,27,1964-12-28,male
785,63,1934-09-09,male
786,53,1978-09-06,male
787,3,1947-12-08,male
788,47,1974-09-03,male
789,4,1931-09-21,male
790,63,1967-05-09,female
791,68,1950-09-29,female
793,21,1978-02-04,male
794,21,1979-07-16,female
796,1,1919-08-30,male
797,8,1948-01-27,male
798,27,1940-02-12,female
799,27,1936-02-19,male
803,35,1951-02-15,male
804,35,1956-01-23,female
806,60,1980-04-22,male
807,53,1969-10-21,female
808,31,1963-11-28,male
809,49,1919-10-15,male
810,58,1945-09-24,female
811,58,1940-05-28,male
812,39,1940-12-06,male
813,70,1964-01-29,male
814,19,1959-10-01,male
815,22,1964-10-27,female
816,17,1958-02-01,female
818,54,1966-04-27,male
819,74,1958-07-08,male
820,74,1960-11-06,female
821,49,1948-05-12,male
822,37,1959-05-08,female
823,41,1956-10-24,male
824,27,1952-09-05,male
825,74,1977-04-02,male
826,1,1978-01-23,male
827,10,1965-09-04,female
828,10,1958-12-10,male
829,24,1957-05-19,male
830,69,1948-08-27,male
831,2,1948-05-02,male
832,67,1923-12-23,female
833,5,1960-06-11,male
834,54,1922-12-17,male
835,28,1943-10-20,female
836,28,1948-06-14,male
837,71,1974-10-14,male
838,71,1968-02-04,female
839,47,1955-05-18,female
840,20,1937-04-26,male
841,69,1981-02-10,male
842,12,1933-07-03,female
843,54,1957-09-03,female
844,22,1945-01-14,male
845,22,1953-01-30,female
846,35,1949-12-01,male
847,49,1979-12-25,male
849,26,1939-06-06,female
850,19,1969-09-21,male
851,25,1919-06-16,male
852,25,1916-06-04,female
853,70,1949-06-02,male
854,72,1941-11-02,female
855,58,1930-01-28,male
856,23,1919-01-22,male
857,32,1948-02-21,male
858,47,1959-03-29,female
859,1,1968-07-29,female
860,1,1967-12-08,male
861,1,1956-09-13,female
862,30,1952-01-05,male
863,54,1968-11-29,female
864,11,1953-03-27,male
865,11,1946-11-03,female
866,38,1975-11-24,female
870,70,1957-05-06,male
871,76,1974-03-11,male
872,35,1963-02-22,male
873,60,1944-01-05,male
874,14,1952-09-05,female
875,14,1956-12-07,male
876,1,1960-11-25,male
877,5,1927-01-21,female
878,5,1920-04-17,male
879,38,1943-12-08,female
880,49,1960-02-17,male
881,5,1975-02-22,female
882,70,1933-09-09,female
883,75,1920-01-06,female
884,75,1918-10-14,male
885,34,1923-02-08,male
886,34,1948-02-02,male
887,66,1973-11-28,female
888,28,1973-10-26,male
889,54,1981-10-24,female
890,77,1919-03-30,male
891,33,1931-01-31,male
892,42,1922-05-24,female
893,43,1935-10-23,female
894,75,1934-08-18,male
895,39,1970-07-03,male
896,36,1973-04-24,female
897,36,1981-03-25,male
898,38,1943-04-27,female
899,38,1944-02-13,male
900,73,1977-04-10,male
901,39,1919-12-21,male
902,23,1950-08-15,male
903,31,1934-03-06,male
904,1,1932-02-08,male
905,38,1940-10-23,male
906,65,1978-06-16,male
907,51,1948-03-11,male
908,51,1961-03-07,female
909,23,1975-09-07,male
910,1,1961-09-27,male
911,43,1939-11-28,male
912,76,1920-10-29,male
913,1,1938-11-18,male
914,1,1921-01-19,female
915,12,1975-05-03,male
916,3,1958-06-29,male
917,25,1973-09-16,female
918,26,1964-12-23,male
921,7,1954-02-13,female
922,22,1972-08-16,female
923,22,1978-08-22,male
924,1,1953-07-12,male
925,54,1959-08-13,male
926,1,1981-01-22,male
927,1,1974-10-26,male
928,66,1951-10-10,female
929,30,1935-04-23,male
930,68,1959-08-25,female
931,16,1968-06-07,male
932,3,1947-09-27,male
933,33,1978-03-11,female
934,33,1982-08-19,male
935,42,1946-05-17,female
936,42,1943-07-30,male
937,1,1931-11-14,male
938,59,1944-08-07,female
939,21,1952-08-03,male
940,53,1960-08-11,male
941,10,1935-10-05,male
942,12,1931-09-02,female
943,12,1936-09-26,male
944,39,1970-12-18,male
945,39,1977-01-10,female
946,54,1951-08-06,male
948,49,1924-04-22,male
949,3,1976-07-27,male
950,76,1965-04-12,female
951,76,1960-09-17,male
952,63,1951-05-01,female
953,25,1937-10-17,male
954,1,1942-10-20,female
955,57,1970-01-28,male
956,1,1966-10-21,male
957,56,1941-12-23,female
958,56,1942-05-04,male
959,11,1962-09-12,female
960,16,1957-04-13,female
961,15,1931-10-04,female
962,19,1966-02-19,male
963,64,1966-12-17,female
964,10,1953-10-21,female
965,13,1972-12-01,female
966,13,1978-09-02,male
967,76,1979-06-20,male
968,69,1957-02-17,male
970,36,1957-03-29,male
971,46,1919-01-01,female
972,46,1917-05-06,male
973,14,1970-10-06,female
974,14,1963-06-24,male
975,1,1959-07-12,female
976,16,1955-11-19,female
977,76,1926-05-10,female
978,56,1968-06-09,female
979,56,1966-11-18,male
980,40,1961-09-30,male
981,5,1960-06-28,male
984,20,1949-07-03,male
985,20,1947-01-13,female
986,74,1955-05-16,male
987,60,1952-05-20,male
988,40,1939-10-01,female
989,40,1933-08-15,male
990,71,1961-12-24,male
991,32,1941-06-27,male
992,19,1948-05-21,male
993,44,1969-10-31,female
994,36,1971-04-27,male
995,36,1973-10-30,female
996,1,1980-06-26,female
997,59,1950-11-11,male
998,59,1953-06-28,female
999,74,1966-09-01,female
1000,74,1961-10-27,male
1001,44,1947-04-14,male
1002,42,1944-03-08,female
1003,31,1937-10-31,female
1004,3,1957-09-25,male
1006,46,1942-06-28,female
1007,46,1938-01-05,male
1008,6,1956-07-06,male
1009,33,1962-04-27,female
1010,33,1955-08-16,male
1011,16,1939-07-13,male
1012,70,1966-02-13,female
1013,70,1973-03-12,male
1014,1,1931-02-08,male
1015,62,1934-03-13,male
1016,62,1940-07-21,female
1017,6,1943-02-12,female
1018,53,1945-02-28,male
1019,14,1946-12-22,female
1020,72,1977-05-10,female
1021,2,1977-08-05,male
1022,31,1940-07-23,male
1023,1,1938-12-28,male
1024,25,1956-03-29,male
1025,15,1964-07-08,male
1026,57,1979-08-12,male
1027,1,1940-11-04,female
1028,1,1934-10-02,male
1029,1,1954-03-16,female
1030,1,1947-10-11,male
1031,2,1968-12-11,female
1032,1,1938-10-30,female
1033,1,1937-10-14,male
1034,52,1974-11-11,female
1035,13,1971-03-28,female
1036,13,1976-12-06,male
1037,1,1965-11-01,female
1038,69,1961-09-23,female
1039,70,1980-10-11,female
1040,1,1960-06-17,male
1041,72,1961-07-05,male
1042,17,1966-09-25,female
1043,17,1963-11-16,male
1044,9,1971-09-13,female
1045,60,1947-12-24,female
1046,1,1975-08-24,male
1047,16,1963-07-11,female
1048,70,1974-10-03,female
1049,1,1942-11-11,male
1050,27,1971-07-01,female
1051,73,1971-08-26,female
1052,56,1964-03-11,male
1053,56,1958-06-03,female
1054,63,1924-08-20,male
1055,4,1919-05-17,male
1056,1,1963-06-19,male
1057,52,1939-02-21,male
1058,9,1975-08-01,female
1059,26,1960-06-03,male
1060,26,1957-12-17,female
1062,16,1975-01-08,male
1063,16,1976-06-12,female
1064,1,1951-02-03,female
1065,2,1957-11-26,male
1066,1,1940-10-18,male
1067,1,1952-05-14,male
1068,13,1926-10-20,female
1069,54,1938-02-21,female
1070,54,1938-12-02,male
1071,43,1925-01-25,male
1072,60,1966-12-08,female
1073,34,1924-04-10,male
1074,34,1928-08-25,female
1075,65,1934-06-04,female
1076,53,1979-05-11,female
1077,46,1920-06-23,male
1078,24,1978-12-15,female
1079,3,1961-07-15,male
1080,54,1950-10-06,female
1081,71,1970-12-16,male
1082,9,1967-02-23,male
1083,48,1937-12-15,male
1084,48,1944-04-09,female
1085,60,1932-12-19,female
1086,74,1973-05-04,male
1087,74,1978-07-30,female
1088,47,1969-08-23,female
1089,1,1939-12-09,male
1090,35,1939-06-20,female
1091,59,1940-06-27,female
1092,41,1962-07-20,female
1093,62,1976-07-28,female
1094,30,1960-10-04,female
1095,30,1954-02-16,male
1096,1,1926-03-03,female
1097,1,1930-09-02,male
1098,60,1948-09-10,female
1099,65,1979-11-21,female
1100,59,1951-07-04,male
1101,74,1946-06-22,male
1102,72,1935-01-29,male
1103,1,1951-08-18,male
1104,1,1955-02-09,female
1105,56,1942-01-03,male
1106,56,1940-02-25,female
1107,60,1961-04-26,male
1108,62,1955-12-22,female
1109,58,1931-09-01,female
1110,10,1928-03-24,female
1111,61,1979-06-04,male
1112,13,1930-07-25,female
1113,11,1976-08-20,male
1114,59,1980-06-18,male
1115,36,1920-08-24,female
1116,69,1973-04-19,female
1117,20,1976-11-01,female
1118,20,1969-11-03,male
1119,54,1980-01-05,female
