city,lat,lon,fraud_ip
Мурманск,69.0076958,33.0686019,5.3.253.106
Сургут,61.2539773,73.3961726,5.3.253.107
Вологда,59.2484186,39.8356461,5.3.253.108
Саранск,54.1807601,45.1862263,5.3.253.109
Тамбов,52.7213021,41.452258,5.3.253.110
Стерлитамак,53.6302498,55.9315707,5.3.253.111
Грозный,43.3179243,45.6981102,5.3.253.112
Якутск,62.0280273,129.7325717,5.3.253.113
Кострома,57.8029445,40.9907282,5.3.253.114
Комсомольск-на-Амуре,50.550011,137.0079286,5.3.253.115
Петрозаводск,61.78909,34.3596263,5.3.253.116
Таганрог,47.2094907,38.935154,5.3.253.117
Нижневартовск,60.9397379,76.5696206,5.3.253.118
Йошкар-Ола,56.6343763,47.8998445,5.3.253.119
Братск,56.1513951,101.6339892,5.3.253.120
Москва,55.7538789,37.6203735,5.3.253.121
Санкт-Петербург,59.939125,30.3158225,5.3.253.122
Новосибирск,55.0281016,82.9210575,5.3.253.123
Екатеринбург,56.8386326,60.6054887,5.3.253.124
Нижний Новгород,56.3242093,44.0053948,5.3.253.125
Казань,55.7943877,49.1115312,5.3.253.126
Самара,53.1951657,50.1067691,5.3.253.127
Омск,54.9848136,73.3674638,5.3.253.128
Челябинск,55.1603659,61.4007858,5.3.253.129
Ростов-на-Дону,47.2224364,39.7187866,5.3.253.130
Уфа,54.734853,55.9578647,5.3.253.131
Волгоград,48.7072005,44.5170207,5.3.253.132
Пермь,58.0103211,56.2341778,5.3.253.133
Красноярск,56.009466,92.8524162,5.3.253.134
Воронеж,51.6592378,39.1968284,5.3.253.135
Саратов,51.530376,45.9530257,5.3.253.136
Краснодар,45.040235,38.9760801,5.3.253.137
Тольятти,53.5206438,49.389461,5.3.253.138
Барнаул,53.3481145,83.7798362,5.3.253.139
Ижевск,56.8527444,53.2113961,5.3.253.140
Ульяновск,54.3080674,48.3748717,5.3.253.141
Владивосток,43.1163807,131.882348,5.3.253.142
Ярославль,57.6216145,39.897878,5.3.253.143
Иркутск,52.2863513,104.280655,5.3.253.144
Тюмень,57.1530824,65.5343118,5.3.253.145
Махачкала,42.9848572,47.5046303,5.3.253.146
Хабаровск,48.4647991,135.0598811,5.3.253.147
Оренбург,51.7875191,55.1017379,5.3.253.148
Новокузнецк,53.7942757,87.2144046,5.3.253.149
Кемерово,55.3909721,86.0467864,5.3.253.150
Рязань,54.625457,39.7359992,5.3.253.151
Томск,56.4847036,84.9481737,5.3.253.152
Астрахань,46.3655808,48.0559979,5.3.253.153
Пенза,53.1753884,45.0347408,5.3.253.154
Набережные Челны,55.7436475,52.3958739,5.3.253.155
Липецк,52.6103027,39.5946266,5.3.253.156
Тула,54.192017,37.6153885,5.3.253.157
Киров,58.6035313,49.6679219,5.3.253.158
Чебоксары,56.1439378,47.2488718,5.3.253.159
Улан-Удэ,51.8334378,107.5841511,5.3.253.160
Калининград,54.7073218,20.5072458,5.3.253.161
Брянск,53.2420071,34.3652716,5.3.253.162
Курск,51.7303391,36.1926448,5.3.253.163
Иваново,56.9994677,40.9728231,5.3.253.164
Магнитогорск,53.4071891,58.9791432,5.3.253.165
Тверь,56.8585396,35.9117898,5.3.253.166
Ставрополь,45.0445439,41.9690168,5.3.253.167
Симферополь,44.9482645,34.100117,5.3.253.168
Нижний Тагил,57.9101038,59.9813242,5.3.253.169
Белгород,50.5977351,36.5858236,5.3.253.170
Архангельск,64.5392985,40.5170083,5.3.253.171
Владимир,56.1281561,40.4082995,5.3.253.172
Севастополь,44.6167334,33.5253552,5.3.253.173
Сочи,43.5855829,39.7231419,5.3.253.174
Курган,55.4443448,65.3161339,5.3.253.175
Смоленск,54.7867168,31.8153366,5.3.253.176
Калуга,54.5060439,36.2515933,5.3.253.177
Чита,52.0340128,113.4994884,5.3.253.178
Орёл,52.9672573,36.0696479,5.3.253.179
Волжский,48.7978483,44.7462417,5.3.253.180
Череповец,59.1269214,37.9092243,5.3.253.181
Владикавказ,43.0205039,44.6819383,5.3.253.182
Мурманск,69.0076958,33.0686019,5.3.253.183
Сургут,61.2539773,73.3961726,5.3.253.184
Вологда,59.2484186,39.8356461,5.3.253.185
Саранск,54.1807601,45.1862263,5.3.253.186
Тамбов,52.7213021,41.452258,5.3.253.187
Стерлитамак,53.6302498,55.9315707,5.3.253.188
Грозный,43.3179243,45.6981102,5.3.253.189
Якутск,62.0280273,129.7325717,5.3.253.190
Кострома,57.8029445,40.9907282,5.3.253.191
Комсомольск-на-Амуре,50.550011,137.0079286,5.3.253.192
Петрозаводск,61.78909,34.3596263,5.3.253.193
Таганрог,47.2094907,38.935154,5.3.253.194
Нижневартовск,60.9397379,76.5696206,5.3.253.195
Йошкар-Ола,56.6343763,47.8998445,5.3.253.196
Братск,56.1513951,101.6339892,5.3.253.197
Москва,55.7538789,37.6203735,5.3.253.198
Санкт-Петербург,59.939125,30.3158225,5.3.253.199
Новосибирск,55.0281016,82.9210575,5.3.253.200
Екатеринбург,56.8386326,60.6054887,5.3.253.201
Нижний Новгород,56.3242093,44.0053948,5.3.253.202
Казань,55.7943877,49.1115312,5.3.253.203
Самара,53.1951657,50.1067691,5.3.253.204
Омск,54.9848136,73.3674638,5.3.253.205
Челябинск,55.1603659,61.4007858,5.3.253.206
Ростов-на-Дону,47.2224364,39.7187866,5.3.253.207
Уфа,54.734853,55.9578647,5.3.253.208
Волгоград,48.7072005,44.5170207,5.3.253.209
Пермь,58.0103211,56.2341778,5.3.253.210
Красноярск,56.009466,92.8524162,5.3.253.211
Воронеж,51.6592378,39.1968284,5.3.253.212
Саратов,51.530376,45.9530257,5.3.253.213
Краснодар,45.040235,38.9760801,5.3.253.214
Тольятти,53.5206438,49.389461,5.3.253.215
Барнаул,53.3481145,83.7798362,5.3.253.216
Ижевск,56.8527444,53.2113961,5.3.253.217
Ульяновск,54.3080674,48.3748717,5.3.253.218
Владивосток,43.1163807,131.882348,5.3.253.219
Ярославль,57.6216145,39.897878,5.3.253.220
Иркутск,52.2863513,104.280655,5.3.253.221
Тюмень,57.1530824,65.5343118,5.3.253.222
Махачкала,42.9848572,47.5046303,5.3.253.223
Хабаровск,48.4647991,135.0598811,5.3.253.224
Оренбург,51.7875191,55.1017379,5.3.253.225
Новокузнецк,53.7942757,87.2144046,5.3.253.226
Кемерово,55.3909721,86.0467864,5.3.253.227
Рязань,54.625457,39.7359992,5.3.253.228
Томск,56.4847036,84.9481737,5.3.253.229
Астрахань,46.3655808,48.0559979,5.3.253.230
Пенза,53.1753884,45.0347408,5.3.253.231
Набережные Челны,55.7436475,52.3958739,5.3.253.232
Липецк,52.6103027,39.5946266,5.3.253.233
Тула,54.192017,37.6153885,5.3.253.234
Киров,58.6035313,49.6679219,5.3.253.235
Чебоксары,56.1439378,47.2488718,5.3.253.236
Улан-Удэ,51.8334378,107.5841511,5.3.253.237
Калининград,54.7073218,20.5072458,5.3.253.238
Брянск,53.2420071,34.3652716,5.3.253.239
Курск,51.7303391,36.1926448,5.3.253.240
Иваново,56.9994677,40.9728231,5.3.253.241
Магнитогорск,53.4071891,58.9791432,5.3.253.242
Тверь,56.8585396,35.9117898,5.3.253.243
Ставрополь,45.0445439,41.9690168,5.3.253.244
Симферополь,44.9482645,34.100117,5.3.253.245
Нижний Тагил,57.9101038,59.9813242,5.3.253.246
Белгород,50.5977351,36.5858236,5.3.253.247
Архангельск,64.5392985,40.5170083,5.3.253.248
Владимир,56.1281561,40.4082995,5.3.253.249
Севастополь,44.6167334,33.5253552,5.3.253.250
Сочи,43.5855829,39.7231419,5.3.253.251
Курган,55.4443448,65.3161339,5.3.253.252
Смоленск,54.7867168,31.8153366,5.3.253.253
Калуга,54.5060439,36.2515933,5.3.253.254
Чита,52.0340128,113.4994884,5.3.253.255
Орёл,52.9672573,36.0696479,5.3.254.0
Волжский,48.7978483,44.7462417,5.3.254.1
Череповец,59.1269214,37.9092243,5.3.254.2
Владикавказ,43.0205039,44.6819383,5.3.254.3
Мурманск,69.0076958,33.0686019,5.3.254.4
Сургут,61.2539773,73.3961726,5.3.254.5
Вологда,59.2484186,39.8356461,5.3.254.6
Саранск,54.1807601,45.1862263,5.3.254.7
Тамбов,52.7213021,41.452258,5.3.254.8
Стерлитамак,53.6302498,55.9315707,5.3.254.9
Грозный,43.3179243,45.6981102,5.3.254.10
Якутск,62.0280273,129.7325717,5.3.254.11
Кострома,57.8029445,40.9907282,5.3.254.12
Комсомольск-на-Амуре,50.550011,137.0079286,5.3.254.13
Петрозаводск,61.78909,34.3596263,5.3.254.14
Таганрог,47.2094907,38.935154,5.3.254.15
Нижневартовск,60.9397379,76.5696206,5.3.254.16
Йошкар-Ола,56.6343763,47.8998445,5.3.254.17
Братск,56.1513951,101.6339892,5.3.254.18
Москва,55.7538789,37.6203735,5.3.254.19
Санкт-Петербург,59.939125,30.3158225,5.3.254.20
Новосибирск,55.0281016,82.9210575,5.3.254.21
Екатеринбург,56.8386326,60.6054887,5.3.254.22
Нижний Новгород,56.3242093,44.0053948,5.3.254.23
Казань,55.7943877,49.1115312,5.3.254.24
Самара,53.1951657,50.1067691,5.3.254.25
Омск,54.9848136,73.3674638,5.3.254.26
Челябинск,55.1603659,61.4007858,5.3.254.27
Ростов-на-Дону,47.2224364,39.7187866,5.3.254.28
Уфа,54.734853,55.9578647,5.3.254.29
Волгоград,48.7072005,44.5170207,5.3.254.30
Пермь,58.0103211,56.2341778,5.3.254.31
Красноярск,56.009466,92.8524162,5.3.254.32
Воронеж,51.6592378,39.1968284,5.3.254.33
Саратов,51.530376,45.9530257,5.3.254.34
Краснодар,45.040235,38.9760801,5.3.254.35
Тольятти,53.5206438,49.389461,5.3.254.36
Барнаул,53.3481145,83.7798362,5.3.254.37
Ижевск,56.8527444,53.2113961,5.3.254.38
Ульяновск,54.3080674,48.3748717,5.3.254.39
Владивосток,43.1163807,131.882348,5.3.254.40
Ярославль,57.6216145,39.897878,5.3.254.41
Иркутск,52.2863513,104.280655,5.3.254.42
Тюмень,57.1530824,65.5343118,5.3.254.43
Махачкала,42.9848572,47.5046303,5.3.254.44
Хабаровск,48.4647991,135.0598811,5.3.254.45
Оренбург,51.7875191,55.1017379,5.3.254.46
Новокузнецк,53.7942757,87.2144046,5.3.254.47
Кемерово,55.3909721,86.0467864,5.3.254.48
Рязань,54.625457,39.7359992,5.3.254.49
Томск,56.4847036,84.9481737,5.3.254.50
Астрахань,46.3655808,48.0559979,5.3.254.51
Пенза,53.1753884,45.0347408,5.3.254.52
Набережные Челны,55.7436475,52.3958739,5.3.254.53
Липецк,52.6103027,39.5946266,5.3.254.54
Тула,54.192017,37.6153885,5.3.254.55
Киров,58.6035313,49.6679219,5.3.254.56
Чебоксары,56.1439378,47.2488718,5.3.254.57
Улан-Удэ,51.8334378,107.5841511,5.3.254.58
Калининград,54.7073218,20.5072458,5.3.254.59
Брянск,53.2420071,34.3652716,5.3.254.60
Курск,51.7303391,36.1926448,5.3.254.61
Иваново,56.9994677,40.9728231,5.3.254.62
Магнитогорск,53.4071891,58.9791432,5.3.254.63
Тверь,56.8585396,35.9117898,5.3.254.64
Ставрополь,45.0445439,41.9690168,5.3.254.65
Симферополь,44.9482645,34.100117,5.3.254.66
Нижний Тагил,57.9101038,59.9813242,5.3.254.67
Белгород,50.5977351,36.5858236,5.3.254.68
Архангельск,64.5392985,40.5170083,5.3.254.69
Владимир,56.1281561,40.4082995,5.3.254.70
Севастополь,44.6167334,33.5253552,5.3.254.71
Сочи,43.5855829,39.7231419,5.3.254.72
Курган,55.4443448,65.3161339,5.3.254.73
Смоленск,54.7867168,31.8153366,5.3.254.74
Калуга,54.5060439,36.2515933,5.3.254.75
Чита,52.0340128,113.4994884,5.3.254.76
Орёл,52.9672573,36.0696479,5.3.254.77
Волжский,48.7978483,44.7462417,5.3.254.78
Череповец,59.1269214,37.9092243,5.3.254.79
Владикавказ,43.0205039,44.6819383,5.3.254.80
Мурманск,69.0076958,33.0686019,5.3.254.81
Сургут,61.2539773,73.3961726,5.3.254.82
Вологда,59.2484186,39.8356461,5.3.254.83
Саранск,54.1807601,45.1862263,5.3.254.84
Тамбов,52.7213021,41.452258,5.3.254.85
Стерлитамак,53.6302498,55.9315707,5.3.254.86
Грозный,43.3179243,45.6981102,5.3.254.87
Якутск,62.0280273,129.7325717,5.3.254.88
Кострома,57.8029445,40.9907282,5.3.254.89
Комсомольск-на-Амуре,50.550011,137.0079286,5.3.254.90
Петрозаводск,61.78909,34.3596263,5.3.254.91
Таганрог,47.2094907,38.935154,5.3.254.92
Нижневартовск,60.9397379,76.5696206,5.3.254.93
Йошкар-Ола,56.6343763,47.8998445,5.3.254.94
Братск,56.1513951,101.6339892,5.3.254.95
Москва,55.7538789,37.6203735,5.3.254.96
Санкт-Петербург,59.939125,30.3158225,5.3.254.97
Новосибирск,55.0281016,82.9210575,5.3.254.98
Екатеринбург,56.8386326,60.6054887,5.3.254.99
Нижний Новгород,56.3242093,44.0053948,5.3.254.100
Казань,55.7943877,49.1115312,5.3.254.101
Самара,53.1951657,50.1067691,5.3.254.102
Омск,54.9848136,73.3674638,5.3.254.103
Челябинск,55.1603659,61.4007858,5.3.254.104
Ростов-на-Дону,47.2224364,39.7187866,5.3.254.105
Уфа,54.734853,55.9578647,5.3.254.106
Волгоград,48.7072005,44.5170207,5.3.254.107
Пермь,58.0103211,56.2341778,5.3.254.108
Красноярск,56.009466,92.8524162,5.3.254.109
Воронеж,51.6592378,39.1968284,5.3.254.110
Саратов,51.530376,45.9530257,5.3.254.111
Краснодар,45.040235,38.9760801,5.3.254.112
Тольятти,53.5206438,49.389461,5.3.254.113
Барнаул,53.3481145,83.7798362,5.3.254.114
Ижевск,56.8527444,53.2113961,5.3.254.115
Ульяновск,54.3080674,48.3748717,5.3.254.116
Владивосток,43.1163807,131.882348,5.3.254.117
Ярославль,57.6216145,39.897878,5.3.254.118
Иркутск,52.2863513,104.280655,5.3.254.119
Тюмень,57.1530824,65.5343118,5.3.254.120
Махачкала,42.9848572,47.5046303,5.3.254.121
Хабаровск,48.4647991,135.0598811,5.3.254.122
Оренбург,51.7875191,55.1017379,5.3.254.123
Новокузнецк,53.7942757,87.2144046,5.3.254.124
Кемерово,55.3909721,86.0467864,5.3.254.125
Рязань,54.625457,39.7359992,5.3.254.126
Томск,56.4847036,84.9481737,5.3.254.127
Астрахань,46.3655808,48.0559979,5.3.254.128
Пенза,53.1753884,45.0347408,5.3.254.129
Набережные Челны,55.7436475,52.3958739,5.3.254.130
Липецк,52.6103027,39.5946266,5.3.254.131
Тула,54.192017,37.6153885,5.3.254.132
Киров,58.6035313,49.6679219,5.3.254.133
Чебоксары,56.1439378,47.2488718,5.3.254.134
Улан-Удэ,51.8334378,107.5841511,5.3.254.135
Калининград,54.7073218,20.5072458,5.3.254.136
Брянск,53.2420071,34.3652716,5.3.254.137
Курск,51.7303391,36.1926448,5.3.254.138
Иваново,56.9994677,40.9728231,5.3.254.139
Магнитогорск,53.4071891,58.9791432,5.3.254.140
Тверь,56.8585396,35.9117898,5.3.254.141
Ставрополь,45.0445439,41.9690168,5.3.254.142
Симферополь,44.9482645,34.100117,5.3.254.143
Нижний Тагил,57.9101038,59.9813242,5.3.254.144
Белгород,50.5977351,36.5858236,5.3.254.145
Архангельск,64.5392985,40.5170083,5.3.254.146
Владимир,56.1281561,40.4082995,5.3.254.147
Севастополь,44.6167334,33.5253552,5.3.254.148
Сочи,43.5855829,39.7231419,5.3.254.149
Курган,55.4443448,65.3161339,5.3.254.150
Смоленск,54.7867168,31.8153366,5.3.254.151
Калуга,54.5060439,36.2515933,5.3.254.152
Чита,52.0340128,113.4994884,5.3.254.153
Орёл,52.9672573,36.0696479,5.3.254.154
Волжский,48.7978483,44.7462417,5.3.254.155
Череповец,59.1269214,37.9092243,5.3.254.156
Владикавказ,43.0205039,44.6819383,5.3.254.157
Мурманск,69.0076958,33.0686019,5.3.254.158
Сургут,61.2539773,73.3961726,5.3.254.159
Вологда,59.2484186,39.8356461,5.3.254.160
Саранск,54.1807601,45.1862263,5.3.254.161
Тамбов,52.7213021,41.452258,5.3.254.162
Стерлитамак,53.6302498,55.9315707,5.3.254.163
Грозный,43.3179243,45.6981102,5.3.254.164
Якутск,62.0280273,129.7325717,5.3.254.165
Кострома,57.8029445,40.9907282,5.3.254.166
Комсомольск-на-Амуре,50.550011,137.0079286,5.3.254.167
Петрозаводск,61.78909,34.3596263,5.3.254.168
Таганрог,47.2094907,38.935154,5.3.254.169
Нижневартовск,60.9397379,76.5696206,5.3.254.170
Йошкар-Ола,56.6343763,47.8998445,5.3.254.171
Братск,56.1513951,101.6339892,5.3.254.172
Москва,55.7538789,37.6203735,5.3.254.173
Санкт-Петербург,59.939125,30.3158225,5.3.254.174
Новосибирск,55.0281016,82.9210575,5.3.254.175
Екатеринбург,56.8386326,60.6054887,5.3.254.176
Нижний Новгород,56.3242093,44.0053948,5.3.254.177
Казань,55.7943877,49.1115312,5.3.254.178
Самара,53.1951657,50.1067691,5.3.254.179
Омск,54.9848136,73.3674638,5.3.254.180
Челябинск,55.1603659,61.4007858,5.3.254.181
Ростов-на-Дону,47.2224364,39.7187866,5.3.254.182
Уфа,54.734853,55.9578647,5.3.254.183
Волгоград,48.7072005,44.5170207,5.3.254.184
Пермь,58.0103211,56.2341778,5.3.254.185
Красноярск,56.009466,92.8524162,5.3.254.186
Воронеж,51.6592378,39.1968284,5.3.254.187
Саратов,51.530376,45.9530257,5.3.254.188
Краснодар,45.040235,38.9760801,5.3.254.189
Тольятти,53.5206438,49.389461,5.3.254.190
Барнаул,53.3481145,83.7798362,5.3.254.191
Ижевск,56.8527444,53.2113961,5.3.254.192
Ульяновск,54.3080674,48.3748717,5.3.254.193
Владивосток,43.1163807,131.882348,5.3.254.194
Ярославль,57.6216145,39.897878,5.3.254.195
Иркутск,52.2863513,104.280655,5.3.254.196
Тюмень,57.1530824,65.5343118,5.3.254.197
Махачкала,42.9848572,47.5046303,5.3.254.198
Хабаровск,48.4647991,135.0598811,5.3.254.199
Оренбург,51.7875191,55.1017379,5.3.254.200
Новокузнецк,53.7942757,87.2144046,5.3.254.201
Кемерово,55.3909721,86.0467864,5.3.254.202
Рязань,54.625457,39.7359992,5.3.254.203
Томск,56.4847036,84.9481737,5.3.254.204
Астрахань,46.3655808,48.0559979,5.3.254.205
Пенза,53.1753884,45.0347408,5.3.254.206
Набережные Челны,55.7436475,52.3958739,5.3.254.207
Липецк,52.6103027,39.5946266,5.3.254.208
Тула,54.192017,37.6153885,5.3.254.209
Киров,58.6035313,49.6679219,5.3.254.210
Чебоксары,56.1439378,47.2488718,5.3.254.211
Улан-Удэ,51.8334378,107.5841511,5.3.254.212
Калининград,54.7073218,20.5072458,5.3.254.213
Брянск,53.2420071,34.3652716,5.3.254.214
Курск,51.7303391,36.1926448,5.3.254.215
Иваново,56.9994677,40.9728231,5.3.254.216
Магнитогорск,53.4071891,58.9791432,5.3.254.217
Тверь,56.8585396,35.9117898,5.3.254.218
Ставрополь,45.0445439,41.9690168,5.3.254.219
Симферополь,44.9482645,34.100117,5.3.254.220
Нижний Тагил,57.9101038,59.9813242,5.3.254.221
Белгород,50.5977351,36.5858236,5.3.254.222
Архангельск,64.5392985,40.5170083,5.3.254.223
Владимир,56.1281561,40.4082995,5.3.254.224
Севастополь,44.6167334,33.5253552,5.3.254.225
Сочи,43.5855829,39.7231419,5.3.254.226
Курган,55.4443448,65.3161339,5.3.254.227
Смоленск,54.7867168,31.8153366,5.3.254.228
Калуга,54.5060439,36.2515933,5.3.254.229
Чита,52.0340128,113.4994884,5.3.254.230
Орёл,52.9672573,36.0696479,5.3.254.231
Волжский,48.7978483,44.7462417,5.3.254.232
Череповец,59.1269214,37.9092243,5.3.254.233
Владикавказ,43.0205039,44.6819383,5.3.254.234
Мурманск,69.0076958,33.0686019,5.3.254.235
Сургут,61.2539773,73.3961726,5.3.254.236
Вологда,59.2484186,39.8356461,5.3.254.237
Саранск,54.1807601,45.1862263,5.3.254.238
Тамбов,52.7213021,41.452258,5.3.254.239
Стерлитамак,53.6302498,55.9315707,5.3.254.240
Грозный,43.3179243,45.6981102,5.3.254.241
Якутск,62.0280273,129.7325717,5.3.254.242
Кострома,57.8029445,40.9907282,5.3.254.243
Комсомольск-на-Амуре,50.550011,137.0079286,5.3.254.244
Петрозаводск,61.78909,34.3596263,5.3.254.245
Таганрог,47.2094907,38.935154,5.3.254.246
Нижневартовск,60.9397379,76.5696206,5.3.254.247
Йошкар-Ола,56.6343763,47.8998445,5.3.254.248
Братск,56.1513951,101.6339892,5.3.254.249
Москва,55.7538789,37.6203735,5.3.254.250
